Timestamp,watch_spongebob,age,friends,siblings,GPA,is_this_funny
4/4/2024 12:54:18,No,18-25,10,yes,4,Yes
4/4/2024 12:58:00,No,25-35,7,yes,3,No
4/4/2024 12:58:14,Yes,18-25,7,yes,3.9,No
4/4/2024 12:58:48,Yes,18-25,15,yes,4,Yes
4/4/2024 12:59:21,Yes,18-25,5,yes,2.6,Yes
4/4/2024 13:00:36,No,18-25,15,yes,4,No
4/4/2024 13:01:17,Yes,25-35,15,yes,3,Yes
4/4/2024 13:02:07,Yes,18-25,15,yes,2,Yes
4/4/2024 13:02:07,Yes,18-25,5,yes,2,Yes
4/4/2024 13:04:42,Yes,18-25,15,yes,3.7,Yes
4/4/2024 13:05:10,Yes,18-25,2,yes,3,No
4/4/2024 13:05:20,Yes,18-25,15,yes,3.2,No
4/4/2024 13:06:44,Yes,18-25,9,no,3.4,Yes
4/4/2024 13:06:57,Yes,18-25,15,yes,0.5,No
4/4/2024 13:08:23,Yes,18-25,10,yes,3.69,No
4/4/2024 13:09:05,Yes,18-25,10,yes,3.7,No
4/4/2024 13:09:17,Yes,18-25,15,yes,3.5,No
4/4/2024 13:09:23,Yes,18-25,10,no,3.4,Yes
4/4/2024 13:09:31,Yes,35,15,yes,3.9,Yes
4/4/2024 13:10:47,Yes,16-18,5,yes,0,No
4/4/2024 13:12:42,Yes,18-25,10,yes,3.4,Yes
4/4/2024 13:14:15,Yes,16-18,5,yes,3.6,No
4/4/2024 13:14:47,No,18-25,7,no,3.9,Yes
4/4/2024 13:15:03,Yes,16-18,7,yes,2.5,No
4/4/2024 13:15:11,Yes,18-25,15,yes,3.733,No
4/4/2024 13:16:27,Yes,16-18,15,yes,3.36,No
4/4/2024 13:17:00,Yes,18-25,10,yes,2.7,Yes
4/4/2024 13:17:09,Yes,18-25,15,yes,3.2,Yes
4/4/2024 13:18:45,Yes,18-25,5,yes,3.2,Yes
4/4/2024 13:19:34,Yes,18-25,6,yes,3,No
4/4/2024 13:19:40,Yes,18-25,3,yes,3,Yes
4/4/2024 13:19:41,Yes,18-25,10,yes,3.8,No
4/4/2024 13:19:59,Yes,18-25,4,yes,3.5,Yes
4/4/2024 13:20:31,Yes,25-35,10,yes,3.4,Yes
4/4/2024 13:20:32,Yes,18-25,1,yes,2,No
4/4/2024 13:20:46,Yes,18-25,3,yes,3.3,Yes
4/4/2024 13:20:57,Yes,25-35,12,yes,3.9,Yes
4/4/2024 13:21:01,Yes,18-25,7,yes,2,Yes
4/4/2024 13:23:31,Yes,25-35,15,yes,3.9,Yes
4/4/2024 13:23:39,Yes,18-25,5,yes,3.8,No
4/4/2024 13:23:54,Yes,25-35,15,no,3.8,Yes
4/4/2024 13:23:55,Yes,18-25,15,yes,3,Yes
4/4/2024 13:24:39,Yes,18-25,15,yes,3.2,Yes
4/4/2024 13:24:51,Yes,25-35,15,yes,2,Yes
4/4/2024 13:24:57,No,18-25,2,yes,3.3,No
4/4/2024 13:24:57,Yes,18-25,10,yes,3.5,Yes
4/4/2024 13:27:29,Yes,18-25,15,yes,3,No
4/4/2024 13:27:35,Yes,18-25,4,yes,3.5,Yes
4/4/2024 13:28:29,Yes,18-25,4,yes,1.8,Yes
4/4/2024 13:31:24,No,18-25,15,yes,3.8,No
4/4/2024 13:31:44,Yes,18-25,6,yes,3,Yes
4/4/2024 13:31:49,Yes,16-18,2,yes,3.4,Yes
4/4/2024 13:33:53,Yes,18-25,1,yes,2.5,Yes
4/4/2024 13:34:36,Yes,35,15,no,2.5,Yes
4/4/2024 13:34:59,No,25-35,10,no,2.5,Yes
4/4/2024 13:35:37,Yes,18-25,12,yes,2.5,Yes
4/4/2024 13:36:41,Yes,18-25,15,yes,3.3,Yes
4/4/2024 13:38:10,No,18-25,8,yes,3.39,No
4/4/2024 13:38:38,Yes,25-35,15,yes,3.25,Yes
4/4/2024 13:39:26,Yes,18-25,15,yes,3,No
4/4/2024 13:41:35,Yes,18-25,15,yes,3.69,Yes
4/4/2024 13:41:58,Yes,18-25,3,yes,3,Yes
4/4/2024 13:42:41,No,18-25,15,yes,3.3,Yes
4/4/2024 13:43:12,Yes,18-25,3,yes,3.8,Yes
4/4/2024 13:44:06,Yes,18-25,5,yes,2.5,Yes
4/4/2024 13:46:38,Yes,18-25,3,no,3,No
4/4/2024 13:47:30,Yes,18-25,6,yes,3.2,Yes
4/4/2024 13:47:38,Yes,16-18,15,yes,3.4,No
4/4/2024 13:49:37,Yes,18-25,15,yes,3.3,No
4/4/2024 13:50:32,Yes,18-25,10,yes,3.6,Yes
4/4/2024 13:50:57,Yes,25-35,0,yes,0.1,No
4/4/2024 13:50:59,Yes,25-35,8,yes,2.9,No
4/4/2024 13:51:16,Yes,18-25,1,yes,3,Yes
4/4/2024 13:52:04,Yes,25-35,1,yes,3,Yes
4/4/2024 13:52:55,No,25-35,0,yes,3.2,No
4/4/2024 13:54:23,Yes,18-25,2,yes,2.3,Yes
4/4/2024 13:54:55,Yes,25-35,2,no,2.98,No
4/4/2024 13:56:02,No,18-25,10,yes,3,Yes
4/4/2024 13:57:04,Yes,25-35,11,yes,3.7,Yes
4/4/2024 13:57:09,Yes,25-35,10,yes,3,Yes
4/4/2024 14:01:20,Yes,18-25,15,yes,2.8,Yes
