Date,Day of the Week,Amount,Description,Category ,Method of Payment
1/26/24,Friday,29.74,groceries,Food,Debit
01/27/24,Saturday,4.00,coffee,Entertainment and Recreation,Cash
01/27/24,Saturday,40.00,gas,Travel,Debit
01/28/24,Sunday,67.42,groceries,Food,Debit
01/28/24,Sunday,40.00,parking ticket,Bills,Debit
01/29/24,Monday,35.66,groceries,Food,Debit
01/30/24,Tuesday,27.15,groceries,Food,Cash
01/31/24,Wednesday,20.00,dr. appt co pay ,Bills,Debit
01/31,Wednesday,10.00,Rx,Bills,Debit
01/31/24,Wednesday,45.00,gas,Travel,Debit
02/01/24,Thursday,18.50,pho soup,Food,Debit
02/02/24,Friday,32.00,concert ticket ,Entertainment and Recreation,Cash
02/02/24,Friday,7.00,drink,Entertainment and Recreation,Debit
02/03/24,Saturday,30.00,groceries,Food,Debit
02/04/24,Sunday,45.00,gas,Travel,Debit
